titulaire-soutien,count
Urbains gogologistes,1
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union des indépendants;écologiste indépendant,1
Mouvement des réformateurs;Rassemblement pour l'Europe fédérale;Convention générale de Bretagne,1
Génération écologie;Ecologie les Verts,1
non inscrits,1
Verts;Génération écologie;Alternative rouge et verte;Association des élus écologistes de l'Isère;Ecologie alternatives autogestion,1
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants;non inscrits,1
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union pour la démocratie française,1
indépendant;centre droit,1
Comité pour l'union du Loir-et-Cher;hors des partis politiques,1
sans étiquette;hors des partis politiques,1
Parti socialiste;Mouvement des radicaux de gauche;Club des démocrates,1
Parti communiste français;Alternative rouge et verte;Refondations;Convergences et démocratie;espoirs 93,1
aucune formation politique,1
indépendant;écologiste,1
Solidarités;A gauche autrement,1
Parti communiste français;Alternative rouge et verte;Refondations;Convergences et démocratie;Espoirs 93;Alternative démocratie socialisme,1
Entente populaire indépendante,1
Union pour la démocratie française;Parti républicain;Centre des démocrates sociaux;Parti social démocrate;Parti radical,1
Parti socialiste;Mouvement des radicaux de gauche;Association des démocrates,1
droite libérale,1
Verts;Génération écologie;Alternative rouge et verte;Union démocratique bretonne,1
gaulliste;indépendant,1
Skyrock Quercy Rouergue,1
Parti d'en rire,1
Amis saumurois de l'écologie,1
Citoyens actifs,1
centriste;sans étiquette,1
Centre national des indépendants;Rassemblement pour la République,1
Alternative démocratie socialisme,1
Alternative rouge et verte;Alternative démocratie socialisme;Refondations;Ligue communiste révolutionnaire,1
Union des écologistes,1
gauche;formation politique,1
Présence socialiste,1
Association des usagers de l'administration et des services publics;SOS environnement;Comité national d'action contre le bruit;Fédération des usagers des transports,1
Rassemblement pour la République;Union pour la démocratie française;Parti radical;Centre des démocrates sociaux;Parti républicain;Moselle debout,1
droite indépendante,1
Ligue socialiste des travailleurs,1
Alliance pour l'écologie et la démocratie;SOS environnement,1
Rassemblement pour la République;Union pour la démocratie française;Centre des démocrates sociaux,1
Parti libre,1
Rassemblement pour la République;Union pour la démocratie française;Centre des démocrates sociaux;Parti républicain,1
gaulliste;libre,1
aucun parti politique;Rassemblement pour la République;Union des démocrates de progrès;Centre national des indépendants;Amicale gaulliste des Flandres;Femme avenir;Groupe opposition nouvelle génération,1
Rassemblement pour la République;Centre national des indépendants;Union pour la démocratie française,1
libres,1
Démocrates de progrès,1
Alliance européenne des travailleurs,1
France Planète 21,1
